Federal Office of Meteorology and Climatology MeteoSwiss
MeteoSchweiz / MeteoSuisse / MeteoSvizzera / MeteoSwiss

Monthly homogenized values

Station:                  Chaumont
Altitude [m asl]:         1136 m
Coordinates:              47° 3.0' N / 6° 58.7' E

Reference date of homogenization:
         Temperature:     01.12.2020
         Precipitation:   01.12.2007

Last inhomogeneity provisionally corrected:
         Temperature:     no
         Precipitation:   no

Units:
         Temperature:     °C
         Precipitation:   mm

Missing values:           NA

Data source:              MeteoSwiss
Creation date:            20.11.2022


Year  Month        Temperature      Precipitation  
1864      1               -3.8               34.3  
1864      2               -2.6               51.6  
1864      3                1.6              101.1  
1864      4                3.5               69.0  
1864      5                8.1              112.0  
1864      6                9.5              225.1  
1864      7               12.8               54.8  
1864      8               11.4               67.3  
1864      9                9.2              107.2  
1864     10                4.5               79.7  
1864     11                0.5               88.1  
1864     12               -1.6               18.6  
1865      1               -1.5              122.9  
1865      2               -5.0               83.1  
1865      3               -5.4               59.4  
1865      4                9.4               20.2  
1865      5               10.9              105.5  
1865      6               11.2               62.9  
1865      7               14.5              104.5  
1865      8               11.2              181.5  
1865      9               13.7                2.1  
1865     10                6.8              240.0  
1865     11                2.6              102.7  
1865     12               -0.8               21.2  
1866      1                0.6               76.3  
1866      2                0.8              136.8  
1866      3               -0.4              153.7  
1866      4                5.0              122.9  
1866      5                4.8              207.3  
1866      6               12.7               51.3  
1866      7               12.4              106.1  
1866      8               10.1              193.9  
1866      9               10.4              106.5  
1866     10                7.3               83.4  
1866     11                1.1              111.2  
1866     12                2.3              133.9  
1867      1               -2.7              211.4  
1867      2                1.9               45.1  
1867      3                0.3              222.1  
1867      4                3.5              180.9  
1867      5                8.3               76.9  
1867      6               10.6              222.9  
1867      7               11.0               47.5  
1867      8               13.6               90.3  
1867      9               10.7               99.1  
1867     10                4.3              112.3  
1867     11                0.4               17.2  
1867     12               -4.0               61.2  
1868      1               -4.9               43.7  
1868      2                0.1                6.7  
1868      3               -1.2               71.5  
1868      4                2.8               95.0  
1868      5               13.3               45.0  
1868      6               12.2               45.3  
1868      7               13.6              138.4  
1868      8               12.7              121.1  
1868      9               12.7              173.2  
1868     10                5.7              107.8  
1868     11               -0.4               71.8  
1868     12                3.1              218.5  
1869      1               -2.9               57.2  
1869      2                2.7               42.2  
1869      3               -3.9               50.8  
1869      4                6.1               33.2  
1869      5                9.0              183.7  
1869      6                8.3               81.9  
1869      7               15.5               95.6  
1869      8               11.2               43.3  
1869      9               10.9              108.7  
